nome,telefone,valor_contribuido,forma_pagamento
Fábio Almeida,(71) 99289-0001,95,Espécie
Samuel Silva,(71) 96219-0002,70,Espécie
Renata Costa,(71) 97104-0003,50,Espécie
William Nascimento,(71) 94210-0004,0,Não contribuiu
Gustavo Almeida,(71) 92203-0005,75,Espécie
Ana Carvalho,(71) 98337-0006,10,PIX
Marcelo Nascimento,(71) 98340-0007,65,Espécie
Rafael Teixeira,(71) 97786-0008,0,Não contribuiu
Helena Melo,(71) 93293-0009,0,Não contribuiu
Fábio Carvalho,(71) 91347-0010,30,Espécie
Diego Nascimento,(71) 95174-0011,30,Espécie
Natália Rocha,(71) 94445-0012,80,Espécie
Samuel Vieira,(71) 96611-0013,50,PIX
Mariana Melo,(71) 95672-0014,85,PIX
Patrícia Mendes,(71) 97307-0015,55,PIX
Yasmin Silva,(71) 93587-0016,50,PIX
Gustavo Nascimento,(71) 95938-0017,70,PIX
Daniel Lima,(71) 92420-0018,60,Espécie
Helena Ramos,(71) 95738-0019,0,Não contribuiu
Gabriel Ramos,(71) 98323-0020,50,Espécie
Paulo Ferreira,(71) 98191-0021,85,Espécie
Bruno Teixeira,(71) 97334-0022,95,PIX
William Carvalho,(71) 93252-0023,0,Não contribuiu
Natália Martins,(71) 98703-0024,50,PIX
Rafael Nascimento,(71) 93643-0025,65,PIX
Natália Lima,(71) 93375-0026,0,Não contribuiu
Simone Oliveira,(71) 94411-0027,75,Espécie
Sofia Silva,(71) 96321-0028,80,PIX
Bruno Souza,(71) 97091-0029,85,Espécie
Sofia Lima,(71) 99957-0030,35,PIX
Fernanda Martins,(71) 92112-0031,0,Não contribuiu
Patrícia Rocha,(71) 96413-0032,85,PIX
Daniel Ramos,(71) 91971-0033,30,PIX
Diego Lima,(71) 94540-0034,0,Não contribuiu
Renata Moreira,(71) 97293-0035,0,Não contribuiu
Renata Moreira,(71) 97348-0036,0,Não contribuiu
Rodrigo Barbosa,(71) 92397-0037,65,Espécie
Gustavo Melo,(71) 98065-0038,60,PIX
Eduardo Carvalho,(71) 94262-0039,45,PIX
